種類,Batch number,CERN ID,入庫NTU,製造商,正反面且清楚原檔,拍照 圖檔,,拍照檢查,Flatness紀錄,Thickness紀錄,肉眼檢查,肉眼檢查,肉眼檢查,,導通記錄,,,,,,,,,,,Flatness紀錄-1,,,link,備註
,,,,,Bare PCB,,,,,,,,,,,,,,,,,Assembled PCB(上件),,,,,,,,
,,,,,拍照,"溢膠檢查
階梯孔+邊緣=",溢膠檢查_備註,"Glue problems
(OK 請打勾)",Flatness,Thickness,Plating (BGA),Plating (Holes),Soldermask alignment,BGA照片(for影像分析),"Test coupons (observations, continuity measurements etc.)",更新文件,Accept?,上件完成日期,上件CERN ID,打件廠商,備註,標籤,已上件,目測,拍照,簡易Flatness紀錄-1,標示chip ID,HV-GND 短路線焊接,,
,2432,320070100300046,,Plotech,TRUE,320-07-01-003-00046,,TRUE,<0.50,1.325,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00046,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300047,,Plotech,TRUE,320-07-01-003-00047,,TRUE,<0.50,1.313,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00047,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300060,,Plotech,TRUE,320-07-01-003-00060,,TRUE,<0.50,1.321,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00060,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300061,,Plotech,TRUE,320-07-01-003-00061,,TRUE,<0.50,1.328,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00061,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300062,,Plotech,TRUE,320-07-01-003-00062,,TRUE,<0.50,1.316,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler320-07-01-003-00062,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300064,,Plotech,TRUE,320-07-01-003-00064,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00064,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300065,,Plotech,TRUE,320-07-01-003-00065,,TRUE,<0.50,1.328,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00065,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300067,,Plotech,TRUE,320-07-01-003-00067,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00067,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300068,,Plotech,TRUE,320-07-01-003-00068,,TRUE,<0.50,1.316,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00068,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300069,,Plotech,TRUE,320-07-01-003-00069,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00069,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300070,,Plotech,TRUE,320-07-01-003-00070,,TRUE,0.5~1.0,1.310,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00070,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300072,,Plotech,TRUE,320-07-01-003-00072,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00072,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300073,,Plotech,TRUE,320-07-01-003-00073,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00073,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300074,,Plotech,TRUE,320-07-01-003-00074,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.15,320XHF4BPP00006,MT,短路電阻方式:焊錫跨接,TRUE,TRUE,TRUE,TRUE,1.0~1.5,"1.HGCROC 3B
ICRH3b
013294 2824
2.HGCROC 3B
ICRH3b
013235 2824
3.HGCROC 3B
ICRH3b
013247 2824
4.HGCROC 3B
ICRH3b
013248 2824
5.HGCROC 3B
ICRH3b
013237 2824
6.HGCROC 3B
ICRH3b
013306 2824
7.QP00726
8.QP01077
9.QP01084",TRUE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00074 (320XHF4BPP00006).docx,"2024.11.15 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300080,,Plotech,TRUE,320-07-01-003-00080,,TRUE,0.5~1.0,1.326,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.15,320XHF4BPP00005,MT,短路電阻方式:焊錫跨接,TRUE,TRUE,TRUE,TRUE,1.0~1.5,"1.HGCROC 3B
ICRH3b
013127 2824
2.HGCROC 3B
ICRH3b
013423 2824
3.HGCROC 3B
ICRH3b
013538 2824
4.HGCROC 3B
ICRH3b
013347 2824
5.HGCROC 3B
ICRH3b
013414 2824
6.HGCROC 3B
ICRH3b
013533 2824
7.QP01026
8.QP01029
9.QP01023",TRUE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00080 (320XHF4BPP00005).docx,"2024.11.15 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300081,,Plotech,TRUE,320-07-01-003-00081,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00081,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300082,,Plotech,TRUE,320-07-01-003-00082,,TRUE,0.5~1.0,1.328,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00082,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300083,,Plotech,TRUE,320-07-01-003-00083,,TRUE,0.5~1.0,1.320,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00083,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300092,,Plotech,TRUE,320-07-01-003-00092,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00092,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300093,,Plotech,TRUE,320-07-01-003-00093,,TRUE,<0.50,1.326,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00093,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300094,,Plotech,TRUE,320-07-01-003-00094,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00094,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300095,,Plotech,TRUE,320-07-01-003-00095,,TRUE,<0.50,1.332,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00095,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
