"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"EM 120um Si Module HD Bottom","MH-B1W","EM 120um Si Module HD Type 2"
"EM 120um Si Module HD Left","MH-L1W","EM 120um Si Module HD Type 3"
"EM 200um Si Module LD Full","ML-F2W","EM 200um Si Module LD Type 0"
"EM 200um Si Module LD Top","ML-T2W","EM 200um Si Module LD Type 1"
"EM 200um Si Module LD Bottom","ML-B2W","EM 200um Si Module LD Type 2"
"EM 200um Si Module LD Right","ML-R2W","EM 200um Si Module LD Type 4"
"EM 200um Si Module LD Five","ML-52W","EM 200um Si Module LD Type 5"
"EM 300um Si Module LD Full","ML-F3W","EM 300um Si Module LD Type 0"
"EM 300um Si Module LD Bottom","ML-B3W","EM 300um Si Module LD Type 2"
"EM 300um Si Module LD Left","ML-L3W","EM 300um Si Module LD Type 3"
"EM 300um Si Module LD Right","ML-R3W","EM 300um Si Module LD Type 4"
"EM 300um Si Module LD Five","ML-53W","EM 300um Si Module LD Type 5"
"HAD 120um Si ProtoModule HD Top","PH-T1C","HAD 120um Si ProtoModule HD Type 1"
"HAD 120um Si ProtoModule HD Bottom","PH-B1C","HAD 120um Si ProtoModule HD Type 2"
"HAD 120um Si ProtoModule HD Left","PH-L1C","HAD 120um Si ProtoModule HD Type 3"
"HAD 200um Si ProtoModule LD Full","PL-F2C","HAD 200um Si ProtoModule LD Type 0"
"HAD 200um Si ProtoModule LD Bottom","PL-B2C","HAD 200um Si ProtoModule LD Type 2"
"HAD 200um Si ProtoModule LD Left","PL-L2C","HAD 200um Si ProtoModule LD Type 3"
"HAD 200um Si ProtoModule LD Right","PL-R2C","HAD 200um Si ProtoModule LD Type 4"
"HAD 200um Si ProtoModule LD Five","PL-52C","HAD 200um Si ProtoModule LD Type 5"
"HAD 300um Si ProtoModule LD Full","PL-F3C","HAD 300um Si ProtoModule LD Type 0"
"Conc Mezz FiveLeft D and T","CM-35LT","Conc-Mezz-FiveLeft-D-T"
"Conc Mezz FiveLeft D only","CM-35LD","Conc-Mezz-FiveLeft-D"
"Conc Mezz FiveLeft PCB","CM-35LB","Conc-Mezz-FiveLeft-PCB"
"LD Wagon West 3F TopoB Geom 2 - Dolphin","WW-30B2","LD Wagon West 3F TopoB Geom 2 - Dolphin"
"LD Wagon West 3F TopoB Geom 1 - Starfish","WW-30B1","LD Wagon West 3F TopoB Geom 1 - Starfish"
"LD Wagon West 3F TopoA Geom 2 - Crab","WW-30A2","LD Wagon West 3F TopoA Geom 2 - Crab"
"LD Wagon West 3F TopoA Geom 1 - Turtle","WW-30A1","LD Wagon West 3F TopoA Geom 1 - Turtle"
"LD Wagon West 2F1P TopoE Geom 3 - Car","WW-21E3","LD Wagon West 2F1P TopoE Geom 3 - Car"
"LD Wagon West 2F1P TopoE Geom 2 - Rocket","WW-21E2","LD Wagon West 2F1P TopoE Geom 2 - Rocket"
"LD Wagon West 2F1P TopoE Geom 1 - Scooter","WW-21E1","LD Wagon West 2F1P TopoE Geom 1 - Scooter"
"LD Wagon West 2F1P TopoD Geom 1 - Steamboat","WW-21D1","LD Wagon West 2F1P TopoD Geom 1 - Steamboat"
"LD Wagon West 2F1P TopoC Geom 1 - Roller skates","WW-21C1","LD Wagon West 2F1P TopoC Geom 1 - Roller skates"
"LD Wagon West 2F1P TopoB Geom 1 - Airplane","WW-21B1","LD Wagon West 2F1P TopoB Geom 1 - Airplane"
"LD Wagon West 2F1P TopoA Geom 1 - Bicycle","WW-21A1","LD Wagon West 2F1P TopoA Geom 1 - Bicycle"
"LD Wagon West 2F TopoD Geom1 - Cow","WW-20D1","LD Wagon West 2F TopoD Geom1 - Cow"
"LD Wagon West 2F TopoC Geom1 - Rabbit","WW-20C1","LD Wagon West 2F TopoC Geom1 - Rabbit"
"LD Wagon West 2F TopoB Geom1 - Lion","WW-20B1","LD Wagon West 2F TopoB Geom1 - Lion"
"LD Wagon West 2F TopoA Geom1 - Bird","WW-20A1","LD Wagon West 2F TopoA Geom1 - Bird"
"LD Wagon West 1F2P TopoC Geom1 - Comet","WW-12C1","LD Wagon West 1F2P TopoC Geom1 - Comet"
"LD Wagon West 1F2P TopoA Geom1 - Saturn","WW-12A1","LD Wagon West 1F2P TopoA Geom1 - Saturn"
"LD Wagon West 1F1P TopoA Geom1 - Paper clip","WW-11A1","LD Wagon West 1F1P TopoA Geom1 - Paper clip"
"LD Wagon West 1F TopoA Geom1 - Mushroom","WW-10A1","LD Wagon West 1F TopoA Geom1 - Mushroom"
"LD Wagon East 3F Topo A Geom3 - Octopus","WE-30A3","LD Wagon East 3F Topo A Geom3 - Octopus"
"LD Wagon East 3F Topo A Geom2 - Scallop","WE-30A2","LD Wagon East 3F Topo A Geom2 - Scallop"
"LD Wagon East 3F TopoA Geom1 - Seahorse","WE-30A1","LD Wagon East 3F TopoA Geom1 - Seahorse"
"LD Wagon East 2F1P Topo D Geom1 - UFO","WE-21D1","LD Wagon East 2F1P Topo D Geom1 - UFO"
"LD Wagon East 2F1P Topo C Geom6 - Submarine","WE-21C6","LD Wagon East 2F1P Topo C Geom6 - Submarine"
"LD Wagon East 2F1P Topo C Geom4 - Semi truck","WE-21C4","LD Wagon East 2F1P Topo C Geom4 - Semi truck"
"LD Wagon East 2F1P Topo C Geom3 - Cargo ship","WE-21C3","LD Wagon East 2F1P Topo C Geom3 - Cargo ship"
"LD Wagon East 2F1P Topo C Geom1 - Helicopter","WE-21C1","LD Wagon East 2F1P Topo C Geom1 - Helicopter"
"LD Wagon East 2F1P Topo B Geom1 - Sailboat","WE-21B1","LD Wagon East 2F1P Topo B Geom1 - Sailboat"
"LD Wagon East 2F1P Topo A Geom1 - Hot air balloon","WE-21A1","LD Wagon East 2F1P Topo A Geom1 - Hot air balloon"
"LD Wagon East 2F Topo E Geom1 - Turkey","WE-20E1","LD Wagon East 2F Topo E Geom1 - Turkey"
"LD Wagon East 2F Topo B Geom1 - Elephant","WE-20B1","LD Wagon East 2F Topo B Geom1 - Elephant"
"LD Wagon East 2F Topo A Geom1 - Zebra","WE-20A1","LD Wagon East 2F Topo A Geom1 - Zebra"
"LD Wagon East 1F2P Topo A Geom1 - Moon","WE-12A1","LD Wagon East 1F2P Topo A Geom1 - Moon"
"LD Wagon East 1F1P Topo C Geom1 - Pencil","WE-11C1","LD Wagon East 1F1P Topo C Geom1 - Pencil"
"LD Wagon East 1F1P Topo B Geom2 - Envelope","WE-11B2","LD Wagon East 1F1P Topo B Geom2 - Envelope"
