Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數
2024-12-17 08:39:48,320BHB003000023,320XHB3BPP00009,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00993,QP00991,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.28/0.076,,Pass,Pass,2.18/0.53,No,HV circuit status :short HV(已焊短路電阻),
2024-12-17 08:55:33,320BHB003000017,320XHB3BPP00008,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00995,QP00994,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.29/0.076,,Pass,Pass,2.27/0.53,No,HV circuit status :short HV(已焊短路電阻),
2024-12-17 09:11:29,320BHB003000012,320XHB3BPP00007,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00997,QP00996,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.3/0.078,,Pass,Pass,2.24/0.56,No,HV circuit status :short HV(已焊短路電阻),
2024-12-17 09:24:50,320BHB003000011,320XHB3BPP00006,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00127,QP00128,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,1.8/1.1,,,,,,Fail,
2024-12-17 09:36:36,320BHB003000000,320XHB3BPP00001,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00120,QP00164,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.29/0.08,,Pass,Pass,2.24/0.55,No,HV circuit status :short HV(已焊短路電阻),
