Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數
2024-12-03 16:56:01,320070100300088,320XHF4BPP00022,,Plotech,v3B,012063 2824,012033 2824,012030 2824,012022 2824,012011 2824,012023 2824,QP00570,QP00569,QP00571,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.47,Pass,Pass,Pass,3.41/1.16,No,,
2024-12-03 17:23:02,320070100300124,320XHF4BPP00021,,Plotech,v3B,012209 2824,012205 2824,012207 2824,012193 2824,012243 2824,012203 2824,QP00581,QP00580,QP00582,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.44,Pass,Pass,Pass,3.4/1.18,No,Retest,
2024-12-09 10:03:07,320070100300186,320XHF4BPP00058,,Plotech,v3B,013613 2824,013582 2824,013638 2824,013078 2824,013163 2824,013579 2824,QP00534,QP00533,QP00536,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.68,Pass,Pass,Pass,3.33/1.07,No,,
2024-12-09 10:19:15,320070100300061,320XHF4BPP00059,,Plotech,v3B,012288 2824,012296 2824,012269 2824,012284 2824,012094 2824,012127 2824,QP01018,QP01049,QP01034,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.71,Pass,Pass,Pass,3.41/1.04,No,,
2024-12-09 10:42:26,320070100300073,320XHF4BPP00060,,Plotech,v3B,013353 2824,013318 2824,013316 2824,013278 2824,013336 2824,013265 2824,QP01217,QP01052,QP01134,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.74,Pass,Pass,Pass,3.37/1.08,No,,
2024-12-09 10:59:13,320070100300112,320XHF4BPP00061,,Plotech,v3B,013039 2824,013046 2824,013067 2824,013077 2824,013017 2824,013150 2824,QP00346,QP00344,QP00347,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.50,Pass,Pass,Pass,3.29/1.05,No,,
2024-12-09 11:14:46,320070100300021,320XHF4BPP00062,,Plotech,v3B,013552 2824,013450 2824,013403 2824,013415 2824,013427 2824,013440 2824,QP01214,QP01183,QP01135,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.49,Pass,Pass,Pass,3.34/1.10,No,,
2024-12-09 11:30:58,320070100300002,320XHF4BPP00063,,Plotech,v3B,013286 2824,013239 2824,013219 2824,013044 2824,013030 2824,013070 2824,QP00360,QP00356,QP00361,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.53,Pass,Pass,Pass,3.31/1.04,No,,
2024-12-09 12:01:39,320070100300107,320XHF4BPP00038,,Plotech,v3B,013014 2824,013065 2824,013005 2824,013027 2824,013356 2824,013002 2824,QP00349,QP00348,QP00351,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.51,Pass,Pass,Pass,3.2/1.07,No,,
2024-12-09 13:31:55,320070100300062,320XHF4BPP00039,,Plotech,v3B,012261 2824,012107 2824,012184 2824,012138 2824,012280 2824,012277 2824,QP01208,QP01247,QP01192,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.49,Pass,Pass,Pass,3.3/1.08,No,,
