Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數,Column 35
2025-02-12 11:10:27,320070100300070,320XHF4BPP00077,,Plotech,v3B,013183 2824,013274 2824,013105 2824,013586 2824,013041 2824,013204 2824,QP01216,QP01163,QP01020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.62,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-17 16:43:28,320070100300011,320XHF4BPP00076,,Plotech,v3B,013225 2824,013585 2824,013064 2824,013028 2824,013042 2824,013493 2824,QP01073,QP01107,QP01057,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.64,Pass,Pass,Pass,3.36/1.09,normal,,,
2025-02-17 17:03:26,320070100300001,320XHF4BPP00084,,Plotech,v3B,013345 2824,013298 2824,013068 2824,013241 2824,013021 2824,013022 2824,QP00367,QP00364,QP00338,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.601,Pass,Pass,Pass,3.38/1.12,normal,,,
2025-02-18 10:30:46,320070100300093,320XHF4BPP00086,,Plotech,v3B,013548 2824,013555 2824,013389 2824,013549 2824,013413 2824,013484 2824,QP00335,QP00334,QP00336,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.55,Pass,Pass,Pass,3.4/1.08,normal,,,
2025-02-18 10:51:41,320070100300069,320XHF4BPP00078,,Plotech,v3B,013343 2824,013367 2824,013331 2824,013307 2824,013377 2824,013372 2824,QP01043,QP01015,QP01027,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.68,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-18 11:09:09,320070100300094,320XHF4BPP00079,,Plotech,v3B,013442 2824,013420 2824,013375 2824,013424 2824,013433 2824,013399 2824,QP00332,QP00331,QP00333,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.51,Pass,Pass,Pass,3.4/1.08,normal,,,
2025-02-18 11:24:43,320070100300181,320XHF4BPP00085,,Plotech,v3B,013259 2824,0132702824,013223 2824,013236 2824,013623 2824,013198 2824,QP00514,QP00513,QP00515,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.68,Pass,Pass,Pass,3.4/1.13,normal,,,
2025-02-18 11:41:30,320070100300083,320XHF4BPP00087,,Plotech,v3B,013373 2824,013457 2824,013529 2824,013395 2824,013456 2824,013408 2824,QP00309,QP00308,QP00310,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.64,Pass,Pass,Pass,3.3/1.08,broken,Need to be retested,,
2025-02-18 14:11:49,320070100300067,320XHF4BPP00089,,Plotech,v3B,013279 2824,013364 2824,013365 2824,013341 2824,013352 2824,013303 2824,QP01246,QP01200,QP01080,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.86,Pass,Pass,Pass,3.4/1.11,normal,,,
2025-02-18 14:25:29,320070100300105,320XHF4BPP00080,,Plotech,v3B,013255 2824,013190 2824,013227 2824,013192 2824,013385 2824,013282 2824,QP00324,QP00323,QP00326,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.82,Pass,Pass,Pass,3.2/1.12,normal,,,
2025-02-18 14:39:30,320070100300081,320XHF4BPP00088,,Plotech,v3B,013637 2824,013418 2824,013271 2824,013328 2824,013178 2824,013401 2824,QP01062,QP01019,QP01045,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.55,Pass,Pass,Pass,3.4/1.11,normal,,,
2025-02-18 14:54:50,320070100300095,320XHF4BPP00090,,Plotech,v3B,013541 2824,013460 2824,013384 2824,013251 2824,013254 2824,013459 2824,QP00328,QP00327,QP00329,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.55,Pass,Pass,Pass,3.38/1.11,normal,,,
2025-02-18 15:09:01,320070100300009,320XHF4BPP00023,,Plotech,v3B,013181 2824,013595 2824,013831 2824,013573 2824,013292 2824,013451 2824,QP01209,QP01056,QP01244,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.69,Pass,Pass,Pass,3.4/1.12,normal,,,
2025-02-18 15:34:44,320070100300090,320XHF4BPP00001,,Plotech,v3B,012053 2824,012168 2824,012153 2824,012012 2824,012043 2824,012013 2824,QP00563,QP00562,QP00564,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.63,,Pass,Pass,3.48/1.14,normal,已焊短路電阻/線,,
2025-02-18 15:52:50,320070100300089,320XHF4BPP00002,,Plotech,v3B,012181 2824,012173 2824,012221 2824,012004 2824,012078 2824,012201 2824,QP00567,QP00566,QP00568,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.74,,Pass,Pass,3.48/1.15,normal,已焊短路電阻/線,,
2025-02-18 16:19:03,320070100300106,320XHF4BPP00081,,Plotech,v3B,013194 2824,013231 2824,013034 2824,013035 2824,013043 2824,013242 2824,QP00321,QP00352,QP00322,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.87,Pass,Pass,Pass,3.44/1.13,normal,,,
2025-02-19 09:56:42,320070100300020,320XHF4BPP00003,,Plotech,v3B,013455 2824,013479 2824,013477 2824,013416 2824,013404 2824,013429 2824,QP01205,QP01118,QP01215,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.67,,Pass,Pass,3.4/1.08,broken,Need to be retested(已焊短路電阻/線 ),,
2025-02-19 10:17:28,320070100300179,320XHF4BPP00004,,Plotech,v3B,013575 2824,013263 2824,013206 2824,013215 2824,013026 2824,013504 2824,QP00624,QP00623,QP00594,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.224/0.79,,Pass,Pass,3.36/1.13,normal,已焊短路電阻/線,,
2025-02-19 10:34:18,320070100300080,320XHF4BPP00005,,Plotech,v3B,013414 2824,013533 2824,013347 2824,013536 2824,013423 2824,013127 2824,QP01026,QP01029,QP01023,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.224/0.56,,Pass,Pass,3.42/1.07,normal,已焊短路電阻/線,,
2025-02-19 10:49:29,320070100300074,320XHF4BPP00006,,Plotech,v3B,013237 2824,013306 2824,013248 2824,013247 2824,013235 2824,013294 2824,QP00726,QP01077,QP01084,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.226/0.79,,Pass,Pass,3.36/1.10,normal,已焊短路電阻/線,,
2025-02-19 16:02:28,320070100300097,320XHF4BPP00081,,Plotech,v3B,013816 2824,013640 2824,013237 2824,013841 2824,013593 2824,013117 2824,QP00523,QP00522,QP00524,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.81,Pass,Pass,Pass,3.44/1.12,normal,,,
2025-03-11 16:09:49,320BHB003000029,320XHB03PP00010,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00990,QP00989,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.26/0.085,Pass,Pass,Pass,2.25/0.57,normal,,,
2025-03-11 16:48:20,320BHB003000017,320XHB03PP00008,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00995,QP00994,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.3/0.06,,Pass,Pass,2.31/0.53,normal,已焊短路電阻/線,,
2025-03-11 17:08:54,320BHB003000000,320XHB03PP00001,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00120,QP00164,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.25/0.08,,Pass,Pass,2.3/0.55,normal,已焊短路電阻/線,,
2025-03-12 11:10:53,320BHB003000030,320XHB03PP00011,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00988,QP00986,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.25/0.08,Pass,Pass,Pass,2.3/0.53,normal,,,
2025-03-12 11:23:32,320BHB003000012,320XHB03PP00007,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00997,QP00996,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.26/0.077,,Pass,Pass,2.21/0.55,normal,已焊短路電阻/線,,
