Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數,Column 35
2025-02-07 05:57:57,320070100300060,320XHF4BPP00052,,Plotech,v3B,012275 2824,012260 2824,012310 2824,012286 2824,012287 2824,012115 2824,QP01186,QP01069,QP01102,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.71,Pass,Pass,Pass,3.5/1.16,normal,,,
2025-02-08 03:54:05,320070100300034,320XHF4BPP00043,,Plotech,v3B,013338 2824,013056 2824,013494 2824,013004 2824,013386 2824,013009 2824,QP00667,QP00665,QP00668,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.989,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-08 04:11:49,320070100300005,320XHF4BPP00041,,Plotech,v3B,013033 2824,013138 2824,013322 2824,013334 2824,013038 2824,013040 2824,QP00382,QP00381,QP00384,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.80,Pass,Pass,Pass,3.2/1.07,normal,,,
2025-02-08 04:30:17,320070100300041,320XHF4BPP00073,,Plotech,v3B,013304 2824,013349 2824,013328 2824,013287 2824,013315 2824,013337 2824,QP01054,QP01060,QP01230,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.59,Pass,Pass,Pass,3.42/1.08,normal,,,
2025-02-08 05:05:24,320070100300068,320XHF4BPP00075,,Plotech,v3B,013280 2824,013300 2824,013335 2824,013295 2824,013366 2824,013323 2824,QP01203,QP01025,QP01201,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.226/0.86,Pass,Pass,Pass,3.4/1.19,normal,,,
2025-02-08 05:28:15,320070100300045,320XHF4BPP00074,,Plotech,v3B,013093 2824,013655 2824,013550 2824,013620 2824,013596 2824,013642 2824,QP01179,QP01167,QP01190,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.74,Pass,Pass,Pass,3.44/1.13,normal,,,
2025-02-10 02:24:44,320070100300015,320XHF4BPP00083,,Plotech,v3B,013520 2824,013470 2824,013543 2824,013532 2824,013495 2824,013490 2824,QP01193,QP01124,QP01149,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.77,Pass,Pass,Pass,3.46/1.15,normal,,,
2025-02-10 02:40:36,320070100300114,320XHF4BPP00072,,Plotech,v3B,012057 2824,012015 2824,012047 2824,012061 2824,012005 2824,012068 2824,QP00588,QP00587,QP00589,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.24/0.79,Pass,Pass,Pass,3.46/1.08,normal,,,
2025-02-10 03:06:40,320070100300180,320XHF4BPP00071,,Plotech,v3B,013208 2824,013256 2824,013232 2824,013197 2824,013245 2824,013045 2824,QP00517,QP00516,QP00518,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.62,Pass,Pass,Pass,3.7/1.07,normal,,,
2025-02-10 03:27:35,320070100300046,320XHF4BPP00070,,Plotech,v3B,012217 2824,012417 2824,012263 2824,012093 2824,012288 2824,012279 2824,QP01081,QP01235,QP01259,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.5,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-10 03:58:24,320070100300018,320XHF4BPP00066,,Plotech,v3B,013525 2824,013489 2824,013537 2824,013561 2824,013393 2824,013476 2824,QP01268,QP01197,QP01222,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,2.3/0.71,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-10 07:28:13,320070100300043,320XHF4BPP00068,,Plotech,v3B,013289 2824,013348 2824,013301 2824,013289 2824,013301 2824,013803 2824,QP01021,QP01143,QP01017,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/1.03,Pass,Pass,Pass,3.42/1.13,normal,,,
2025-02-12 03:29:06,320070100300064,320XHF4BPP00067,,Plotech,v3B,012272 2824,012123 2824,012304 2824,012144 2824,012112 2824,012111 2824,QP01125,QP01223,QP01124,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/1.09,Pass,Pass,Pass,3.41/1.13,normal,,,
2025-02-12 03:49:29,320070100300065,320XHF4BPP00069,,Plotech,v3B,013291 2824,013299 2824,013363 2824,013339 2824,013362 2824,013340 2824,QP01109,QP01219,QP01071,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.79,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-12 04:10:27,320070100300070,320XHF4BPP00077,,Plotech,v3B,013183 2824,013274 2824,013105 2824,013586 2824,013041 2824,013204 2824,QP01216,QP01163,QP01020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.62,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-17 09:43:28,320070100300011,320XHF4BPP00076,,Plotech,v3B,013225 2824,013585 2824,013064 2824,013028 2824,013042 2824,013493 2824,QP01073,QP01107,QP01057,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.64,Pass,Pass,Pass,3.36/1.09,normal,,,
2025-02-17 10:03:26,320070100300001,320XHF4BPP00084,,Plotech,v3B,013345 2824,013298 2824,013068 2824,013241 2824,013021 2824,013022 2824,QP00367,QP00364,QP00338,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.601,Pass,Pass,Pass,3.38/1.12,normal,,,
2025-02-18 03:30:46,320070100300093,320XHF4BPP00086,,Plotech,v3B,013548 2824,013555 2824,013389 2824,013549 2824,013413 2824,013484 2824,QP00335,QP00334,QP00336,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.55,Pass,Pass,Pass,3.4/1.08,normal,,,
2025-02-18 03:51:41,320070100300069,320XHF4BPP00078,,Plotech,v3B,013343 2824,013367 2824,013331 2824,013307 2824,013377 2824,013372 2824,QP01043,QP01015,QP01027,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.68,Pass,Pass,Pass,3.4/1.1,normal,,,
2025-02-18 04:09:09,320070100300094,320XHF4BPP00079,,Plotech,v3B,013442 2824,013420 2824,013375 2824,013424 2824,013433 2824,013399 2824,QP00332,QP00331,QP00333,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.51,Pass,Pass,Pass,3.4/1.08,normal,,,
2025-02-18 04:24:43,320070100300181,320XHF4BPP00085,,Plotech,v3B,013259 2824,0132702824,013223 2824,013236 2824,013623 2824,013198 2824,QP00514,QP00513,QP00515,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.68,Pass,Pass,Pass,3.4/1.13,normal,,,
2025-02-18 04:41:30,320070100300083,320XHF4BPP00087,,Plotech,v3B,013373 2824,013457 2824,013529 2824,013395 2824,013456 2824,013408 2824,QP00309,QP00308,QP00310,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.64,Pass,Pass,Pass,3.3/1.08,normal,,,
2025-02-18 07:11:49,320070100300067,320XHF4BPP00089,,Plotech,v3B,013279 2824,013364 2824,013365 2824,013341 2824,013352 2824,013303 2824,QP01246,QP01200,QP01080,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.86,Pass,Pass,Pass,3.4/1.11,normal,,,
